bearing_deg,horizon_deg
120.0000,10.2716
120.0500,10.2661
120.1000,10.2581
120.1500,10.2475
120.2000,10.2343
120.2500,10.2179
120.3000,10.2264
120.3500,10.2644
120.4000,10.3063
120.4500,10.3522
120.5000,10.3858
120.5500,10.4132
120.6000,10.4409
120.6500,10.4691
120.7000,10.4962
120.7500,10.5188
120.8000,10.5318
120.8500,10.5454
120.9000,10.5595
120.9500,10.5602
121.0000,10.5556
121.0500,10.5500
121.1000,10.5432
121.1500,10.5435
121.2000,10.5596
121.2500,10.5503
121.3000,10.5299
121.3500,10.5043
121.4000,10.4914
121.4500,10.5193
121.5000,10.5449
121.5500,10.5482
121.6000,10.5394
121.6500,10.5471
121.7000,10.5474
121.7500,10.5354
121.8000,10.5206
121.8500,10.5029
121.9000,10.4824
121.9500,10.4621
122.0000,10.4388
122.0500,10.4157
122.1000,10.3937
122.1500,10.3726
122.2000,10.3536
122.2500,10.3391
122.3000,10.3280
122.3500,10.3203
122.4000,10.3113
122.4500,10.2969
122.5000,10.2841
122.5500,10.2758
122.6000,10.2722
122.6500,10.2561
122.7000,10.2551
122.7500,10.2562
122.8000,10.2468
122.8500,10.2321
122.9000,10.2196
122.9500,10.2131
123.0000,10.2091
123.0500,10.2042
123.1000,10.2010
123.1500,10.1995
123.2000,10.1921
123.2500,10.1791
123.3000,10.1678
123.3500,10.1649
123.4000,10.1508
123.4500,10.1373
123.5000,10.1243
123.5500,10.0958
123.6000,10.0667
123.6500,10.0473
123.7000,10.0115
123.7500,9.9751
123.8000,9.9381
123.8500,9.9005
123.9000,9.8626
123.9500,9.8037
124.0000,9.7484
124.0500,9.6964
124.1000,9.6480
124.1500,9.5996
124.2000,9.5532
124.2500,9.5238
124.3000,9.4908
124.3500,9.4539
124.4000,9.4176
124.4500,9.3789
124.5000,9.3364
124.5500,9.2977
124.6000,9.2613
124.6500,9.2273
124.7000,9.1971
124.7500,9.1659
124.8000,9.1364
124.8500,9.1104
124.9000,9.0881
124.9500,9.0669
125.0000,9.0486
125.0500,9.0415
125.1000,9.0355
125.1500,9.0240
125.2000,9.0255
125.2500,9.0476
125.3000,9.0490
125.3500,9.0260
125.4000,9.0025
125.4500,8.9903
125.5000,8.9536
125.5500,8.9177
125.6000,8.8703
125.6500,8.8226
125.7000,8.8032
125.7500,8.7928
125.8000,8.7915
125.8500,8.7660
125.9000,8.6705
125.9500,8.5882
126.0000,8.5245
126.0500,8.5169
126.1000,8.5102
126.1500,8.4901
126.2000,8.4723
126.2500,8.4573
126.3000,8.4450
126.3500,8.4290
126.4000,8.4110
126.4500,8.3951
126.5000,8.3713
126.5500,8.3441
126.6000,8.3089
126.6500,8.2737
126.7000,8.2389
126.7500,8.2033
126.8000,8.1682
126.8500,8.1335
126.9000,8.0971
126.9500,8.0649
127.0000,8.0338
127.0500,8.0019
127.1000,7.9714
127.1500,7.9501
127.2000,7.9275
127.2500,7.9148
127.3000,7.9020
127.3500,7.8820
127.4000,7.8593
127.4500,7.8399
127.5000,7.8241
127.5500,7.8091
127.6000,7.7841
127.6500,7.7590
127.7000,7.7340
127.7500,7.7075
127.8000,7.6671
127.8500,7.6341
127.9000,7.6074
127.9500,7.5865
128.0000,7.5736
128.0500,7.5629
128.1000,7.5542
128.1500,7.5352
128.2000,7.5041
128.2500,7.4717
128.3000,7.4430
128.3500,7.4189
128.4000,7.3979
128.4500,7.3736
128.5000,7.3481
128.5500,7.3218
128.6000,7.2976
128.6500,7.2755
128.7000,7.2594
128.7500,7.2482
128.8000,7.2418
128.8500,7.2387
128.9000,7.2277
128.9500,7.2197
129.0000,7.2144
129.0500,7.2107
129.1000,7.2071
129.1500,7.2037
129.2000,7.1950
129.2500,7.1831
129.3000,7.1783
129.3500,7.1747
129.4000,7.1725
129.4500,7.1716
129.5000,7.1721
129.5500,7.1724
129.6000,7.1738
129.6500,7.1795
129.7000,7.1894
129.7500,7.2021
129.8000,7.2142
129.8500,7.2276
129.9000,7.2398
129.9500,7.2523
130.0000,7.2670
130.0500,7.2778
130.1000,7.2900
130.1500,7.3035
130.2000,7.3185
130.2500,7.3313
130.3000,7.3422
130.3500,7.3525
130.4000,7.3620
130.4500,7.3787
130.5000,7.3890
130.5500,7.3747
130.6000,7.3604
130.6500,7.3461
130.7000,7.3330
130.7500,7.3200
130.8000,7.3073
130.8500,7.2904
130.9000,7.2647
130.9500,7.2338
131.0000,7.1916
131.0500,7.1527
131.1000,7.1205
131.1500,7.0693
131.2000,7.0259
131.2500,7.0050
131.3000,6.9743
131.3500,6.9390
131.4000,6.8797
131.4500,6.8204
131.5000,6.7596
131.5500,6.6817
131.6000,6.6141
131.6500,6.5533
131.7000,6.4999
131.7500,6.4597
131.8000,6.4184
131.8500,6.3750
131.9000,6.3346
131.9500,6.3151
132.0000,6.3328
132.0500,6.3537
132.1000,6.3735
132.1500,6.3874
132.2000,6.4032
132.2500,6.4244
132.3000,6.4470
132.3500,6.4645
132.4000,6.4819
132.4500,6.4968
132.5000,6.5114
132.5500,6.5209
132.6000,6.5266
132.6500,6.5247
132.7000,6.5224
132.7500,6.5202
132.8000,6.5027
132.8500,6.4771
132.9000,6.4522
132.9500,6.4260
133.0000,6.3966
133.0500,6.3685
133.1000,6.3450
133.1500,6.3337
133.2000,6.3142
133.2500,6.2963
133.3000,6.2938
133.3500,6.2913
133.4000,6.2776
133.4500,6.2556
133.5000,6.2335
133.5500,6.2092
133.6000,6.1792
133.6500,6.1474
133.7000,6.1138
133.7500,6.0728
133.8000,6.0315
133.8500,5.9934
133.9000,5.9589
133.9500,5.9232
134.0000,5.8856
134.0500,5.8483
134.1000,5.8098
134.1500,5.7762
134.2000,5.7394
134.2500,5.7060
134.3000,5.6667
134.3500,5.6332
134.4000,5.6006
134.4500,5.5691
134.5000,5.5385
134.5500,5.5016
134.6000,5.4643
134.6500,5.4296
134.7000,5.3951
134.7500,5.3505
134.8000,5.3126
134.8500,5.2816
134.9000,5.2521
134.9500,5.2275
135.0000,5.1997
135.0500,5.1717
135.1000,5.1418
135.1500,5.1149
135.2000,5.0857
135.2500,5.0671
135.3000,5.0546
135.3500,5.0385
135.4000,5.0196
135.4500,4.9998
135.5000,4.9752
135.5500,4.9430
135.6000,4.9200
135.6500,4.9012
135.7000,4.8804
135.7500,4.8623
135.8000,4.8447
135.8500,4.8298
135.9000,4.8168
135.9500,4.8018
136.0000,4.7849
136.0500,4.7689
136.1000,4.7517
136.1500,4.7354
