bearing_deg,horizon_deg
0.0000,5.6070
0.5000,5.8430
1.0000,6.0471
1.5000,6.2511
2.0000,6.6942
2.5000,7.1193
3.0000,7.2326
3.5000,7.3918
4.0000,7.9342
4.5000,8.5920
5.0000,8.7477
5.5000,9.0760
6.0000,9.2743
6.5000,9.5128
7.0000,9.7394
7.5000,9.7642
8.0000,9.5778
8.5000,9.2919
9.0000,8.9512
9.5000,8.6009
10.0000,8.3316
10.5000,8.0476
11.0000,7.8522
11.5000,7.5549
12.0000,7.2161
12.5000,7.1707
13.0000,7.2141
13.5000,7.3058
14.0000,7.4080
14.5000,7.5074
15.0000,7.5739
15.5000,7.6254
16.0000,7.6534
16.5000,7.6755
17.0000,7.6966
17.5000,7.7169
18.0000,7.7362
18.5000,7.7546
19.0000,7.7721
19.5000,7.7939
20.0000,7.8309
20.5000,7.8914
21.0000,7.9693
21.5000,7.9940
22.0000,8.0132
22.5000,8.0342
23.0000,8.0570
23.5000,8.2349
24.0000,8.5553
24.5000,8.7810
25.0000,9.0462
25.5000,8.9868
26.0000,8.9346
26.5000,8.9742
27.0000,8.8681
27.5000,8.9004
28.0000,9.0178
28.5000,9.1262
29.0000,9.0774
29.5000,9.0712
30.0000,9.2148
30.5000,9.4543
31.0000,9.5443
31.5000,9.9055
32.0000,10.0926
32.5000,10.1812
33.0000,10.3997
33.5000,10.6714
34.0000,10.9271
34.5000,10.9745
35.0000,11.0749
35.5000,11.0572
36.0000,10.8946
36.5000,10.6064
37.0000,10.3434
37.5000,10.1015
38.0000,9.7481
38.5000,9.5432
39.0000,9.2554
39.5000,9.0540
40.0000,8.9948
40.5000,9.0032
41.0000,9.0313
41.5000,9.0521
42.0000,9.0731
42.5000,9.0943
43.0000,9.0902
43.5000,9.0783
44.0000,9.0366
44.5000,9.0698
45.0000,9.1002
45.5000,9.1091
46.0000,9.1058
46.5000,9.0942
47.0000,9.0820
47.5000,9.0535
48.0000,9.0770
48.5000,9.0369
49.0000,9.0258
49.5000,9.0234
50.0000,9.1104
50.5000,9.1819
51.0000,9.2871
51.5000,9.5517
52.0000,9.7575
52.5000,9.9557
53.0000,10.4721
53.5000,10.9120
54.0000,11.2107
54.5000,11.3259
55.0000,11.4249
55.5000,11.4772
56.0000,11.5610
56.5000,11.6121
57.0000,11.3892
57.5000,11.2647
58.0000,11.3538
58.5000,11.2693
59.0000,11.1526
59.5000,11.0250
60.0000,10.9667
60.5000,11.0019
61.0000,11.0508
61.5000,11.1663
62.0000,11.3111
62.5000,11.4080
63.0000,11.4537
63.5000,11.5644
64.0000,11.5737
64.5000,11.5676
65.0000,11.5817
65.5000,11.6217
66.0000,11.7550
66.5000,11.7680
67.0000,11.7542
67.5000,11.7995
68.0000,11.8813
68.5000,11.9122
69.0000,11.9273
69.5000,11.8315
70.0000,11.6630
70.5000,11.6445
71.0000,11.4392
71.5000,11.2917
72.0000,11.1948
72.5000,11.0039
73.0000,10.7470
73.5000,10.6219
74.0000,10.5028
74.5000,10.4980
75.0000,10.4867
75.5000,10.3861
76.0000,10.2158
76.5000,10.0083
77.0000,9.7391
77.5000,9.5298
78.0000,9.2511
78.5000,9.0494
79.0000,8.8212
79.5000,8.6306
80.0000,8.4872
80.5000,8.3470
81.0000,8.1723
81.5000,7.8660
82.0000,7.6051
82.5000,7.1435
83.0000,6.8456
83.5000,6.6705
84.0000,6.4862
84.5000,6.2445
85.0000,5.9975
85.5000,6.0016
86.0000,6.0513
86.5000,6.0551
87.0000,6.0309
87.5000,5.8722
88.0000,5.8367
88.5000,5.9189
89.0000,5.8363
89.5000,5.6184
90.0000,5.4653
90.5000,5.3225
91.0000,5.2221
91.5000,5.5197
92.0000,5.6184
92.5000,5.4333
93.0000,5.3159
93.5000,5.1464
94.0000,5.2851
94.5000,5.4642
95.0000,5.6516
95.5000,5.8153
96.0000,6.0494
96.5000,6.2900
97.0000,6.4649
97.5000,6.6489
98.0000,6.9302
98.5000,7.1988
99.0000,7.3728
99.5000,7.6782
100.0000,8.0418
100.5000,8.2982
101.0000,8.5790
101.5000,8.7684
102.0000,8.8057
102.5000,8.7648
103.0000,8.8513
103.5000,8.9460
104.0000,9.0180
104.5000,9.0363
105.0000,9.0636
105.5000,9.1082
106.0000,9.2834
106.5000,9.5064
107.0000,9.6363
107.5000,9.7369
108.0000,9.9154
108.5000,10.1006
109.0000,10.2226
109.5000,10.2592
110.0000,10.1425
110.5000,10.2582
111.0000,10.3753
111.5000,10.4291
112.0000,10.5627
112.5000,10.6839
113.0000,10.7708
113.5000,10.7065
114.0000,10.4819
114.5000,10.0837
115.0000,9.8493
115.5000,9.5390
116.0000,9.4153
116.5000,9.3409
117.0000,9.3633
117.5000,9.4926
118.0000,9.6530
118.5000,9.8385
119.0000,10.0411
119.5000,10.1356
120.0000,10.2823
120.5000,10.3954
121.0000,10.5652
121.5000,10.5547
122.0000,10.4487
122.5000,10.2940
123.0000,10.2190
123.5000,10.1343
124.0000,9.7583
124.5000,9.3464
125.0000,9.0586
125.5000,8.9637
126.0000,8.5334
126.5000,8.3801
127.0000,8.0427
127.5000,7.8330
128.0000,7.5826
128.5000,7.3571
129.0000,7.2234
129.5000,7.1811
130.0000,7.2761
130.5000,7.3980
131.0000,7.2006
131.5000,6.7686
132.0000,6.3395
132.5000,6.5181
133.0000,6.4033
133.5000,6.2403
134.0000,5.8924
134.5000,5.5450
135.0000,5.2065
135.5000,4.9822
136.0000,4.7917
136.5000,4.6861
137.0000,4.3060
137.5000,3.4498
138.0000,2.9369
138.5000,2.8633
139.0000,2.7684
139.5000,2.6869
140.0000,2.6190
140.5000,2.5656
141.0000,2.5052
141.5000,2.4429
142.0000,2.3921
142.5000,2.3521
143.0000,2.3095
143.5000,2.2605
144.0000,2.2361
144.5000,2.2151
145.0000,2.1903
145.5000,2.1479
146.0000,2.1101
146.5000,2.0963
147.0000,2.0736
147.5000,2.0606
148.0000,2.0474
148.5000,2.0339
149.0000,2.0202
149.5000,1.9786
150.0000,1.9234
150.5000,1.8990
151.0000,2.1105
151.5000,2.2460
152.0000,2.3996
152.5000,2.5129
153.0000,2.5775
153.5000,2.6886
154.0000,2.7471
154.5000,2.8416
155.0000,2.9731
155.5000,3.1353
156.0000,3.3393
156.5000,3.4945
157.0000,3.6727
157.5000,3.7555
158.0000,3.8243
158.5000,3.8863
159.0000,3.7747
159.5000,3.9025
160.0000,3.9917
160.5000,4.1502
161.0000,4.3123
161.5000,4.3414
162.0000,4.1775
162.5000,4.2908
163.0000,4.4405
163.5000,4.7173
164.0000,4.6785
164.5000,4.4370
165.0000,4.1954
165.5000,4.3903
166.0000,4.6107
166.5000,4.7954
167.0000,4.8940
